doc,一代要記,大鏡,百鍊抄,三代實錄,歷代皇紀,續日本紀,日本紀略,本書,扶桑略記,今鏡,增鏡,女院小傳,東鑑,尊卑分脈,公卿補任,源平盛衰記,太平記,文德實錄,日本紀,平家物語,玉海,皇胤紹運錄,帝王編年記,愚管抄,榮華物語
143,3,,19,,1,,,,25,,,,12,49,,11,,,,6,2,,3,2,
106,,,,,,2,,3,,,,,,,,,,,16,,,,,,
242,1,,,3,,4,3,5,8,,,,,,,,,,10,,,,,,
183,1,,3,,2,,,,,,8,,18,,,,1,,,,,,3,,
223,,,,,,,,2,,,,,12,2,,10,3,,3,6,2,,,,
167,6,,,,6,,,1,,,7,,,29,36,,27,,,,,,,,
122,,,,3,,5,8,,,,1,,,,13,,,4,,,,,,,
165,,,,,,,,,,,3,,,7,4,,27,,,,,,,,
120,2,1,,1,,34,16,1,,,,,,14,16,,,2,4,,,,,,
221,,,,,,,,,,4,6,,1,25,17,,2,,,,1,,,,
158,,,,,,,,,,,,,4,7,9,8,,,,2,10,,,,
139,,22,6,,,,6,1,3,3,,,,14,31,,,,,,,,,8,12
181,2,,2,,,,,5,,,3,,56,3,16,,,,,,,,6,18,
238,,,,,,5,3,3,,,,,,,,,,,1,,,,,,
240,,1,,,,5,,2,,,,,,,,,,,6,,,,,,
141,,5,2,,,,3,,2,,,,,7,25,,,,,,,,,3,3
104,27,,3,,34,,,,,,2,52,,1,,,,,,,2,17,4,,
77,53,2,,56,2,6,32,3,1,,,,,2,3,,,35,,,,47,28,,
127,,,1,24,1,,3,1,,,,,,1,20,,,8,,,,1,,,
162,,,,,,,,,,,,,44,19,10,5,1,,,2,,,,,
226,,1,,13,1,10,2,2,3,,,,,4,,2,,16,2,4,1,,1,,
186,,,,,,,,1,,,,,,9,10,,3,,,,,,,,
103,29,,,,11,,,3,4,11,,3,,,,,,,,,,9,13,,3
146,1,,1,,2,,,,,15,,,,29,37,2,,,,2,1,,,17,
101,43,,,46,4,7,30,,,,,,,,1,,,22,,,,46,7,,
144,,,,,,,,,,,,,12,5,,3,,,,,1,,,1,
184,,,,,2,,,3,,,,,,6,11,,64,,,,,,,,
179,,,3,,,,,5,,,1,,18,1,4,19,,,,7,5,,2,4,
118,,,,14,,7,1,1,,,,,,,11,,,5,1,,,,,,
219,,4,,,,,,,1,,,,,,1,,,,,,,,,,1
224,,,,2,,12,1,,,,,,10,3,1,4,2,5,3,3,,,,,
125,,,,4,,,3,,,,,,,5,8,,,8,,,1,,,,
160,1,,1,,,,,,,,,,22,17,5,56,,,,29,19,,,,
75,1,,,,,,,,,,,,,,,,,,76,,,,1,,
159,4,,2,,,,,,,,17,,12,37,44,6,,,,2,11,,,9,
121,,,,,,16,3,7,,,,,,1,11,,,,2,,,,,,
164,,,,,,,,,,,7,,,13,18,,24,,,,,,,,
220,,,,,,,4,,,1,,,,21,5,2,,,,,1,1,,,2
241,,,,1,,4,6,2,,,,,1,,,2,,1,2,2,,,,,
105,11,,,,47,,,8,,,20,72,,4,1,,,,,,,51,3,,
140,,,2,,4,,11,2,10,,,,5,31,,4,1,,,2,,,1,1,1
138,6,14,2,,1,,11,,8,14,,,1,25,43,,,,,,,1,,9,16
180,,,2,,,,,4,,,6,,48,5,7,11,2,,,12,15,,7,2,
239,,,,3,,,3,1,1,,,,,,,,,,,,,,,,
182,1,,,,2,,,1,,,1,,60,3,17,,,,,,,,2,3,
107,,,,,,5,,11,,,,,,,,,,,18,,,,,,
142,4,,,,,,,,2,20,,,,28,30,4,,,,2,,,,3,2
243,1,,18,,3,2,,7,11,,,,,1,,,,,2,1,1,,4,,
222,,,,2,,7,,,,,,,8,1,,,1,,,,,,,,
123,,,,2,,8,2,,,,,,,1,8,,,2,1,,,,,,
166,,,,,,,,,,,2,,,7,10,,26,,,,,,,,
